Company (Manufacturer),Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating
5150,U.S.A.,2019,Tanzania,"Kokoa Kamili, batch 1",76%,"3- B,S,C","rich cocoa, fatty, bready",2
5150,U.S.A.,2019,Dominican Republic,"Zorzal, batch 1",76%,"3- B,S,C","cocoa, vegetal, savory",3
5150,U.S.A.,2019,Madagascar,"Bejofo Estate, batch 1",76%,"3- B,S,C","cocoa, blackberry, full body",3
5150,U.S.A.,2021,Fiji,"Matasawalevu, batch 1",68%,"3- B,S,C","chewy, off, rubbery",2
5150,U.S.A.,2021,Venezuela,"Sur del Lago, batch 1",72%,"3- B,S,C","fatty, earthy, moss, nutty,chalky",2
5150,U.S.A.,2021,Uganda,"Semuliki Forest, batch 1",80%,"3- B,S,C","mildly bitter, basic cocoa, fatty",2
5150,U.S.A.,2021,India,"Anamalai, batch 1",68%,"3- B,S,C","milk brownie, macadamia,chewy",3
A. Morin,France,2012,Bolivia,Bolivia,70%,"4- B,S,C,L","vegetal, nutty",3
A. Morin,France,2012,Peru,Peru,63%,"4- B,S,C,L","fruity, melon, roasty",3
A. Morin,France,2013,Panama,Panama,70%,"4- B,S,C,L","brief fruit note, earthy, nutty",2
A. Morin,France,2013,Colombia,Colombie,70%,"4- B,S,C,L","burnt rubber,alkalyzed notes",2
A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70%,"4- B,S,C,L","sticky, red fruit, sour",2
A. Morin,France,2013,Burma,Birmanie,70%,"4- B,S,C,L","sticky, smokey, grass",2
A. Morin,France,2013,Brazil,Brazil,70%,"4- B,S,C,L",mild tobacco,2
A. Morin,France,2013,Papua New Guinea,Papua New Guinea,70%,"4- B,S,C,L","mild fruit, strong smoke",2
A. Morin,France,2013,Peru,Piura,70%,"4- B,S,C,L","green, nutty, cocoa",2
A. Morin,France,2013,Peru,Chanchamayo Province,70%,"4- B,S,C,L","cocoa,sour,intense tangerine",3
A. Morin,France,2013,Ecuador,Equateur,70%,"4- B,S,C,L","sandy, nutty, cocoa, fig",3
A. Morin,France,2013,Venezuela,Chuao,70%,"4- B,S,C,L","oily, nut, caramel, raspberry",3
A. Morin,France,2013,Peru,Chanchamayo Province,63%,"3- B,S,C","sweet, cocoa, tangerine",3
A. Morin,France,2014,Venezuela,"Carenero, Criollo",70%,"4- B,S,C,L","harsh, leather, earthy",2
A. Morin,France,2014,Cuba,Cuba,70%,"4- B,S,C,L","sliglty dry, papaya",3
A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70%,"4- B,S,C,L","nutty, mild choco, roasty",3
A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70%,"4- B,S,C,L","astringent, nutty, chocolatey",3
A. Morin,France,2014,Peru,Pablino,70%,"4- B,S,C,L","delicate, hazelnut, brownie",3
A. Morin,France,2015,Togo,Kpime,70%,"4- B,S,C,L","burnt wood, earthy, choco",2
A. Morin,France,2015,Togo,Atsane,70%,"4- B,S,C,L","roasty, acidic, nutty",2
A. Morin,France,2015,Togo,Akata,70%,"4- B,S,C,L","mild profile, chocolaty, spice",3
A. Morin,France,2015,Peru,Quilla,70%,"4- B,S,C,L","grainy texture, cocoa, sweet",3
A. Morin,France,2016,Sao Tome,Agua Grande,63%,"4- B,S,C,L","sweet, chocolatey, vegetal",3
A. Morin,France,2018,Venezuela,Porcelana,70%,"4- B,S,C,L","alluring aroma, powdery,nutty",3
A. Morin,France,2018,Peru,Absolu,63%,"4- B,S,C,L","sweet, dairy, spice, cocoa",3
A. Morin,France,2021,Mexico,La Joya,70%,"4- B,S,C,L","light color, fruit, yogurt",3
Acalli,U.S.A.,2015,Peru,"Chulucanas, El Platanal, batch 001",70%,"2- B,S",yellow fruit,3
Acalli,U.S.A.,2015,Peru,"Tumbes, Norandino",70%,"2- B,S","intense, nutty, cherry, cocoa",3
Acalli,U.S.A.,2020,Mexico,"Teapa, Tabasco, batch 2",74%,"2- B,S","herbal, molasses, hammy",2
